Task,1.1,1.2,2.1,2.2,3.1,3.2
Random Forest,0.24249,0.15423,0.24249,-0.242488398,0.15423,0.06184
Linear Regression,0.07637,0.06184,0.07637,-0.076369015,0.06184,0.15423
SVR,0.301345,0.15423,0.15423,0.301345015,0.15423,0.15423
Gradient Boosting,0.14756,0.15423,0.06184,-0.147560048,0.14756,0.14756
Lasso,0.15423,0.01292,0.15423,-0.154229332,0.15423,0.15423
Ridge,0.06184,0.06184,0.15423,-0.061838085,0.06184,0.06184
ElasticNet,0.15423,0.15423,0.01292,-0.154229332,0.15423,0.15423
Decision Tree,0.15423,0.15423,0.15423,-0.154229332,0.15423,0.06184
KNN,0.01292,0.01292,0.01292,-0.012915918,0.01292,0.15423
